eeg_file,timesteps
Bonobo03119_1,320533
Bonobo07980_0,634213
Bonobo08909_0,210080
Bonobo11111_0,456909
Bonobo07137_0,203184
Bonobo08745_0,390790
Bonobo08381_0,421071
Bonobo10684_0,473027
Bonobo05995_1,513645
Bonobo01430_1,351181
Bonobo00007_1,209281
Bonobo10983_0,455216
Bonobo10649_0,304000
Bonobo10602_0,478844
Bonobo10709_0,379304
Bonobo11145_0,283098
Bonobo09154_0,446972
Bonobo07626_0,440118
Bonobo10448_0,557304
Bonobo07941_0,237092
Bonobo09618_0,566522
Bonobo04685_1,272292
Bonobo07814_0,403840
Bonobo09194_0,328052
Bonobo00700_1,318741
Bonobo11553_0,472365
Bonobo10243_0,460280
Bonobo04102_1,233960
Bonobo09286_0,1907355
Bonobo00831_1,306793
Bonobo11412_0,295900
Bonobo08108_0,311041
Bonobo10875_0,649022
Bonobo11478_0,222075
Bonobo11272_0,309340
Bonobo10642_0,576772
Bonobo08556_0,462838
Bonobo10304_0,459315
Bonobo11139_0,559351
Bonobo09454_0,459033
Bonobo11095_0,402600
Bonobo11508_0,177744
Bonobo10129_0,529370
Bonobo09030_0,370021
Bonobo07158_0,197300
Bonobo08100_0,458408
Bonobo03269_1,219604
Bonobo07193_0,262189
Bonobo09413_0,357584
Bonobo11153_0,280944
Bonobo11233_0,612077
Bonobo08749_0,405536
Bonobo09598_0,423919
Bonobo00432_1,191184
Bonobo10126_0,318932
Bonobo10289_0,391126
Bonobo07701_0,350987
Bonobo10733_0,449636
Bonobo11199_0,734285
Bonobo09065_0,556136
Bonobo01245_1,313876
Bonobo07225_0,399144
Bonobo07329_0,437720
Bonobo09748_0,323555
Bonobo09961_0,539047
Bonobo10244_0,513453
Bonobo09826_0,622485
Bonobo07645_0,304284
Bonobo07732_0,431721
Bonobo09300_0,491311
Bonobo07692_0,199698
Bonobo09467_0,289720
Bonobo10862_0,1157535
Bonobo04850_1,289209
Bonobo11418_0,423666
Bonobo06002_1,259716
Bonobo07679_0,187349
Bonobo00613_1,332987
Bonobo02903_1,244602
Bonobo11714_0,216167
Bonobo09907_0,364024
Bonobo10984_0,457594
Bonobo10963_0,449172
Bonobo11550_0,256620
Bonobo11393_0,266028
Bonobo07665_0,477442
Bonobo10466_0,436095
Bonobo11456_0,341872
Bonobo10682_0,572512
Bonobo11670_0,254948
Bonobo10583_0,5000000
Bonobo09832_0,363133
Bonobo09034_0,554036
Bonobo08980_0,303371
Bonobo11727_0,212501
Bonobo08376_0,513722
Bonobo07653_0,177138
Bonobo10201_0,276564
Bonobo11213_0,418342
Bonobo10812_0,311367
Bonobo11628_0,182994
Bonobo11361_0,583752
Bonobo09835_0,499648
Bonobo10333_0,759162
Bonobo08353_0,354914
Bonobo04392_1,517494
Bonobo06487_1,700745
Bonobo07724_0,440762
Bonobo01240_1,421863
Bonobo09243_0,194815
Bonobo07712_0,413564
Bonobo08516_0,461857
Bonobo05402_1,624155
Bonobo07117_0,237504
Bonobo10419_0,523961
Bonobo08052_0,504874
Bonobo00332_1,531385
Bonobo09913_0,456836
Bonobo09582_0,481780
Bonobo10836_0,422396
Bonobo11018_0,274885
Bonobo11470_0,581716
Bonobo08895_0,679084
Bonobo10104_0,390746
Bonobo09256_0,428555
Bonobo09658_0,508314
Bonobo08600_0,190332
Bonobo09732_0,227367
Bonobo00069_1,274488
Bonobo08453_0,391396
Bonobo07953_0,381364
Bonobo09630_0,354984
Bonobo07336_0,418762
Bonobo10166_0,404313
Bonobo08189_0,968145
Bonobo08490_0,467516
Bonobo08995_0,348352
Bonobo08234_0,429614
Bonobo08916_0,592435
Bonobo10375_0,218742
Bonobo07767_0,503188
Bonobo07167_0,197488
Bonobo08704_0,540425
Bonobo11492_0,1384062
Bonobo08959_0,405236
Bonobo09297_0,525209
Bonobo10309_0,438801
Bonobo11372_0,413210
Bonobo10349_0,246087
Bonobo08422_0,605931
Bonobo11661_0,382957
Bonobo08914_0,541651
Bonobo09330_0,287798
Bonobo07928_0,439167
Bonobo09662_0,251003
Bonobo00133_1,248316
Bonobo10295_0,571572
Bonobo08373_0,616006
Bonobo02177_1,323265
Bonobo09535_0,389161
Bonobo10531_0,317893
Bonobo02255_1,417239
Bonobo11557_0,561072
Bonobo06123_1,523256
Bonobo08866_0,562234
Bonobo08288_0,644729
Bonobo10786_0,295296
Bonobo09486_0,362252
Bonobo11417_0,308306
Bonobo09987_0,229699
Bonobo07727_0,600411
Bonobo08571_0,509545
Bonobo10976_0,286207
Bonobo10159_0,371544
Bonobo09149_0,448096
Bonobo07856_0,385664
Bonobo11060_0,354016
Bonobo10081_0,473528
Bonobo11672_0,310239
Bonobo09270_0,352964
Bonobo02531_1,478463
Bonobo08352_0,530186
Bonobo11104_0,339184
Bonobo00003_1,315981
Bonobo09784_0,356296
Bonobo10593_0,530389
Bonobo08735_0,670709
Bonobo09466_0,384962
Bonobo08491_0,286266
Bonobo10498_0,232164
Bonobo11422_0,352384
Bonobo10001_0,406864
Bonobo02611_1,335932
Bonobo10428_0,344049
Bonobo10283_0,189370
Bonobo08591_0,616834
Bonobo09078_0,460006
Bonobo08217_0,176116
Bonobo07343_0,443268
Bonobo10406_0,629570
Bonobo09856_0,1168134
Bonobo05433_1,565956
Bonobo03553_1,318185
Bonobo07636_0,296454
Bonobo08123_0,425350
Bonobo08097_0,272560
Bonobo07783_0,664824
Bonobo11443_0,286600
Bonobo09580_0,389110
Bonobo09081_0,510835
Bonobo08322_0,322294
Bonobo08370_0,403091
Bonobo11683_0,620426
Bonobo08445_0,494991
Bonobo09225_0,701223
Bonobo10203_0,422742
Bonobo09541_0,500547
Bonobo07394_0,584443
Bonobo08274_0,637462
Bonobo08807_0,700256
Bonobo08639_0,362934
Bonobo05233_1,475979
Bonobo10052_0,520743
Bonobo08506_0,221184
Bonobo11410_0,307289
Bonobo10280_0,350129
Bonobo09306_0,618316
Bonobo10385_0,526109
Bonobo07942_0,686523
Bonobo11736_0,524540
Bonobo11563_0,316442
Bonobo11611_0,578484
Bonobo10899_0,624306
Bonobo08253_0,210250
Bonobo11382_0,541695
Bonobo06001_1,577200
Bonobo09937_0,412799
